Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
14,0,0.0005,0,0.145327268875486,0.913230050397427,0.0442807955035712,0.935004472901459,0.0249492317485143,-0.0344797549613339,-0.0404615379304776,0.744359903305239,64.4191625527617,0.00776673324733814,0.000231595314915393,84,1.92197142610903,1.92343190730347,-0.816121243594793,0.0271246067361443,0.0358760923493961,-0.331193408081693,1.3948559876868,0,0.00774985385714541,0.000162170732012923,0.19384507465385,0,1.52989677058272,358.430797028481,701.890764364129,1.58922753035196e-06,30.6799769837674,49.7978519466117,0.130449682123102,0.00344359461865287,0.000239560168761825,0.167589668789159,0,0,3,C
15,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.95984718724459,1.96132903752767,0.137807097048662,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,0.456469271431914,136966.510331595,318339282518740,115.456557912484,573.327593430981,993.738807812276,0,10.0921105201288,0.0425257975947936,-1.69733274859495,0,1,8,Z
16,0,0.0005,0,0.26322099835584,0.931870076219971,0.0340997330731277,0.94457571036041,0.0217030452553045,-0.00177013668930211,-0.00204001895336969,0.806154686955276,76.4097019152534,2.33064258272872e-05,8.10933921286163e-05,84,1.71727092472017,1.71744574631502,-1.95145160886522,0.0231302387597345,0.000115780018633438,-0.226915044073455,0.50947571266417,6.79022632328341,0.00129273481468146,0.000261045310275783,0.200009243941233,0,1.74373902969107,219.428864353573,703.085865717733,2.22044604925031e-16,27.0475149430613,37.6826848496825,0.611379805680534,0.00266072631602187,0.000245647667355717,0.167596560176944,0,0,1,A
17,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.74747567686962,1.74766753965405,-1.92222244116744,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,24.7754775032816,999.886643608162,0,Inf,Inf,Inf,0,1,NaN,<undefined>
18,0,0.0005,0,0.16979408465727,0.726821445528576,0.140399660129127,0.886524018940956,0.0879122742542571,-0.0459777652289984,-0.0542797107358208,0.618578700885995,34.7913019741867,1.57025808139914e-05,5.21991713889337e-05,84,1.75850777164943,1.75870585862063,-1.90761271831895,0.0473569720506791,0.0221580424940067,17.7362533376564,8.72349861081495,1.24344978758018e-12,0.0157451012366209,0.000162976517831662,0.192352205534445,0,0.551403597739466,842591704.753096,46.2127415314622,0.959185717986953,893.06839823487,979.674417029154,0,0.231972489570362,1.12856740632407e-05,0.0078479002306283,0,1,8,Z
19,0,0.0005,0,0.297387798160603,0.931137231324677,0.0344595875088738,0.944286310911727,0.0219357990938599,-0.00142117163403086,-0.00163752139394346,0.803169828942092,75.8409225765736,2.00618908213561e-08,9.93299078481413e-06,84,1.56953611145563,1.56979474980834,-1.99515755456276,0.0232510139358984,0.000999805710093948,-0.379716235222892,-0.0868998065958786,13.7193129068334,0.00136434547364785,0.000225725947083093,0.200090985979876,0,1.65571224647009,259.405929142353,702.636702384965,2.22044604925031e-16,25.1212029632994,34.2111556405883,0.918485652043199,0.00282598976056927,0.000242648846207955,0.167637484252415,0,0,1,A
20,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.74548586182375,1.74584376909407,-1.92460014210811,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,21.9261301417464,999.852582991222,0,Inf,Inf,Inf,0,1,NaN,<undefined>
21,0,0.0005,0,0,-5.52157864800465e+116,1,-1,0.49978097859036,116.742063123977,5.52157688645074e+116,0.999999836595564,8.61202297988822e-116,1.6084830133374e-05,5.17290502223229e-05,84,1.7570496187812,1.75741405019626,-1.90969097290609,1.27483889910638e+115,5.769132322196e+27,3.32279654407803,184.210971193607,0,3.85377654706611e+26,2.53850267067138e+25,-8.1942824927075,0,0.552140084999408,2075975340.63734,27.0791417384462,0.973801338843049,893.0781401135,979.850673358912,0,0.234000941240375,7.2527151297864e-06,0.00505182412473618,0,1,8,Z
22,0,0.0005,0,0.269044709325216,0.931647602945403,0.03420584340297,0.944520597523347,0.0217733611108839,-0.0015047963688342,-0.00173395981405366,0.805243249333097,76.2097266840297,2.73540363751076e-08,3.60723522638685e-05,84,1.67526105741938,1.67549576106713,-1.97479427457658,0.0231532390198781,0.000637446091827143,-0.336506038502573,0.164012213709738,12.1329341381993,0.0013423365551064,0.000246005875410992,0.200071209634091,0,1.6740580285731,249.630286512153,702.51431296863,4.44089209850063e-16,26.0162637704339,35.9647729913804,0.705614881547767,0.00278018765825096,0.000241639862242586,0.167619883438963,0,0,1,A
23,0,0,0,0,-Inf,1,-Inf,Inf,Inf,1,0,0,Inf,Inf,84,1.74576629473586,1.74604077666451,-1.92426949510523,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,Inf,Inf,Inf,Inf,23.5994941092414,999.841864028834,20.0487151338668,Inf,Inf,Inf,0,1,NaN,<undefined>
