Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
11,0,0.0005,0,0,0.128400164059248,0.0130575708829556,0.101211991094552,0.00191594363411941,-0.0215334904180757,-0.0250933025397369,1,10.799213622768,0.0317016476148166,0,1,1.99290244895604,1.99316063770816,1.69434717163854,0.175660194858106,0.18287508341382,0.816885789283167,-0.235855693182781,0,0.0228193456101485,4.24327289288449e-05,0.0435096666501421,0,3.53842084924679,8096.13613268675,104163.096900168,2.34845920488169e-10,322.599530067992,430.534685722266,0.289326268344814,0.000864065404890572,8.0908883184767e-06,0.0241489385224845,0,0,3,C
12,0,0.0005,0,0,-1.80124781117784e+103,1,-1,0.53004742512501,101.726665300962,5.32924027018028e+101,1,0,8.72669534666054e+138,1.54286810428291e+135,1,1.99528048154544,1.9955391914653,1.79406168991576,3.57145972593783e+101,1.80659040284398e+77,0.410841365627882,8.68889318385693,0,1.41314018044869e+129,1.85441550255473e+127,-12.2846976355116,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,<undefined>
13,0,0.0005,0,0,0.384001529398258,0.00919400384114949,0.365167919129022,0.00137943090715878,-0.0152520223716209,-0.0177118356945305,1,89.4402824397096,0.0159932522800527,0,1,1.78245584646158,1.78299259421033,-1.65011008343377,0.124074214666625,0.127601181184476,-0.273404436638177,-0.699721684226614,0,0.0146354209508641,4.27713210431523e-05,0.0294703323286314,0,3.48699661097757,10270.1134097512,104162.867905937,1.77635683940025e-14,177.474597494682,212.813695845608,1.85660074083529,0.000736794709745969,7.90816200871573e-06,0.024272063264933,0,0,2,B
14,0,0.0005,0,0,0.118938600420522,0.0131995494215668,0.100622899041353,0.00223548283111267,-0.0215631075553971,-0.0251282239617677,1,13.6319893940094,0.0316890929764064,0,1,1.98851124328213,1.98909314996833,1.51705375548459,0.175773791374783,0.183184610140545,1.9761520729711,0.238880201469029,0,0.0245786048373247,4.24320075822392e-05,0.0486514962940481,0,3.56352592342715,7240.47153081676,104163.201367124,1.97048333205885e-09,422.492443939668,602.255017434623,0.00658425709660904,0.000933928543661419,8.19136088530377e-06,0.0240826083806442,0,0,5,E
15,0,0.0005,0,0,-3.82364585260344e+121,1,-1,0.527673363619461,120.053569495843,1.13127840212488e+120,1,0,2.40550696174181e+163,5.91978470786685e+159,1,1.99031365493639,1.9908959566377,1.58877214315345,7.00045160368586e+119,8.74710596210909e+90,0.197239249854169,8.68934197906085,0,3.62938944764131e+152,5.60585753882009e+150,-Inf,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,NaN,<undefined>
16,0,0.0005,0,0,0.292154734356845,0.0105796610281189,0.265627687002384,0.0013976584320069,-0.017618399944745,-0.0204867484985215,1,78.4944108760706,0.0212923058312423,0,1,1.76376489325131,1.76384299227545,-1.71619557495086,0.143527636905501,0.148445183472174,-0.414608071557735,-0.757370536826217,0,0.0166374383553297,4.26323694559612e-05,0.0294066563404496,0,3.48370049346511,10494.5205586703,104162.849771764,3.19744231092045e-13,158.886681427936,368.512812098556,2.24539734892284,0.000733927045616951,7.97809235933972e-06,0.0242850252579244,0,0,3,C
17,0,0.0005,0,0,-4.5571416569738,0.089554334477157,-0.829889146355069,0.00372300705239391,-0.133646358997466,-0.164067577111247,1,0,1.32018846983286,0,1,1.78943034247451,1.78951406631816,-1.62168359295124,1.14890441498676,1.22800574343671,3.93942670703797,1.06643494573599,0,0.135246966564483,3.63709922312935e-05,0.0658791049514411,0,3.64288264503082,6003.61317763812,104163.61641016,2.43850881265217e-06,694.927440107369,1029.48499048037,0,0.00128481191080501,1.09530007457209e-05,0.0238985508020441,0,0,8,Z
18,0,0.0005,0,0,-4.92394107122328,0.0960317515713516,-0.840424009391656,0.00400155400549856,-0.142033693341283,-0.174895590659216,1,0,1.49921030104759,0,1,1.78943140537865,1.78951512945524,-1.62167908936411,1.22475185660253,1.30965472489734,4.07238485680307,1.15071828218481,0,0.144159246384833,3.58981064744215e-05,0.0691387290433877,0,3.65655333888226,6079.52018169001,104163.739984454,4.84833945524343e-06,759.18410324276,1109.55590528868,0,0.00138974432752916,1.1506047723596e-05,0.0238546222692095,0,0,8,Z
19,0,0.0005,0,1.76089253438127e-52,0.862940278606292,0.00202831565800478,0.923030026757241,0.00126872124203557,-0.000655067083695475,-0.00075445809679775,1,93.2479829580527,5.43168282753775e-05,0,1,-1.92334549017692,-1.92401051928048,-2,0.0150807509316456,0.000448347511981417,0.974047634748925,0.00318272582452895,0,0.00276338526885437,4.34910019617666e-05,0.0295994311215051,0,3.49147712046623,9698.52270425422,104162.881921018,5.32907051820075e-15,147.093435024981,200.589500195062,0.153558741139892,0.00066496769859848,7.75963138372184e-06,0.0242542017293407,0,0,1,A
20,0,0.0005,0,0,-4.34461348582071,0.0858356152122547,-0.823114591022882,0.00361598523661559,-0.128763358226749,-0.157783728863363,1,0,1.22213231540538,7.09974814698911e-30,1,1.7894459609209,1.78959462424892,-1.62161741127495,1.10490359751359,1.18040426758975,3.67955442707944,0.962118621785811,0,0.130113789307899,3.66488748604823e-05,0.0649569788040937,0,3.63927764295833,6083.29884523519,104163.600587177,1.43662482532392e-06,675.164670585161,989.600538458702,0,0.00127114820261089,1.09828993619465e-05,0.0239105385220115,0,0,8,Z
21,0,0.0005,0,0,-4.76717425696931,0.0932535507605503,-0.836078542592942,0.00392687608570108,-0.138446470178213,-0.170259370739586,1,0,1.42169173139604,3.15544362088405e-30,1,1.78944741384546,1.7895960774919,-1.62161125405804,1.19228523235651,1.2745297291498,3.89624990418391,1.07996175836717,0,0.140401956485847,3.61032113147333e-05,0.0685650485374284,0,3.65429023622362,6134.76905040358,104163.731009414,3.61143000127129e-06,743.739027907086,1090.46645861019,0,0.00138187841578532,1.15368559762945e-05,0.0238626706197393,0,0,8,Z
22,0,0.0005,0,0,0.288517059688749,0.0106346206735227,0.261687117860091,0.00139804769059103,-0.0177119132828346,-0.0205965521654535,1,78.1552583917832,0.0215176592349655,0,1,1.753582040177,1.75369037556586,-1.7467846347261,0.14429779199856,0.149270349643301,-0.424071285216884,-0.759901355174981,0,0.0167178804780503,4.26384899376768e-05,0.0294499889157127,0,3.48354467904323,10504.8395492826,104162.848896426,5.00044450291171e-13,158.134499983307,368.937639540791,2.26082298519699,0.000733796549895814,7.98134217548945e-06,0.0242856602099386,0,0,3,C
