Model_No,KS,AD,SW,WX,Fit,TIC,Willmott,Russell_Pr,Russell_Mr,SG_Mr,Anova,Dvure,DTW,DTW_D,CodExp,N_nAIC,N_BIC,N_FPE,ITAE,V_ess,V_Tr,V_Ts,V_Mp,V_MESR,V_MRSR,V_Var,V_DifS,Harris,rwi,IAU,ess,Tr,Ts,Mp,MESR,MRSR,Var,DifS,Flag,ID_norm,Category
11,0,0.0005,0,0,-0.0655342058372885,0.0139580219178335,-0.23618961730751,0.00137958786928016,0.0233206700714047,0.0279631904750579,1,0.0368023930843428,3.38741074526802,7.69611988929726e-05,1,1.96759764746609,1.96783239304719,0.701258785731301,1.81874481584863,1.92476558758402,1.27748222677736,-0.038769481287757,0,0.0300703989055957,5.67132265514325e-05,0.0504508264984397,0,3.27605198549831,15935.2590571602,966602.433457042,4.96574159569718e-09,98.9259688440075,652.589283594681,13.1046392496268,0.0013980831666777,1.86127356032563e-05,0.0322971845366029,0,0,5,E
12,0,0.0005,0,0,0.332693593220969,0.0087881831001522,0.195147446492843,0.00139041690103543,0.0145425489778245,0.0171711377144861,1,0.573580882713469,1.29785247456544,7.69726677842492e-05,1,1.99939272393807,1.99963271776296,1.97067775704862,1.11806320518828,1.16964196404827,1.08447427414583,-0.0697463337086757,0,0.0204973672070256,5.61177131574739e-05,0.0548511796003085,0,3.24380384782124,18898.8961661019,966602.661542233,8.91020590643166e-11,106.161933672495,616.306463090215,5.77892056124969,0.00126687323431451,1.4953176410717e-05,0.0322317158145131,0,0,5,E
13,0,0.0005,0,0,-0.432404280389515,0.0186735432651594,-0.434413911059861,0.00144276697080319,0.0310720944398969,0.0377712265871091,1,0,6.13913842322516,7.69214535791155e-05,1,1.95885232540383,1.95938574502211,0.429686831071914,2.45617105235454,2.6108827208141,1.53106529256141,0.0297616878300168,0,0.0390541684328359,5.7244691224069e-05,0.0478163913494864,0,3.29461809852539,14587.5651800212,966602.113828256,4.83480278035131e-08,96.433521498861,785.965494219431,16.6812848336781,0.00150866505788837,2.11574073879619e-05,0.032332183437658,0,0,6,F
14,0,0.0005,0,0,-0.0116652714640979,0.0132617371281249,-0.194925424906801,0.00134971186134279,0.0221700180859458,0.0265297066343642,1,0.0524244773602084,3.05309940861731,7.6970452360099e-05,1,1.96425681258085,1.96479112428902,0.594104579572558,1.72552483343825,1.8244833816057,1.16644362323122,-0.0814869685975759,0,0.0286740764005679,5.66340743574281e-05,0.0503772294887218,0,3.27296931727086,16173.4615076639,966602.41963809,4.43881731371221e-09,99.3782575644568,652.580810828345,12.8396885465243,0.00138078591036753,1.81994819599898e-05,0.0322983852939411,0,0,5,E
15,0,0.0005,0,0,0.349429740845624,0.0085696573295422,0.215894180519659,0.00137128306322124,0.014176198638115,0.0167278561041899,1,0.663890124337827,1.23297877965496,7.69752300112505e-05,1,1.99891128530468,1.99945131724194,1.94758438868831,1.08924311452749,1.13861572709476,1.02405744023207,-0.0943290530309843,0,0.0200386362369121,5.60932181497554e-05,0.0547541195720052,0,3.24185997628317,19091.57608117,966602.596121374,7.85576048656367e-11,106.776640629788,608.987920335777,5.55922447208095,0.00125946645223123,1.47646039600262e-05,0.0322328077776375,0,0,4,D
16,0,0.0005,0,0,0.55233682834467,0.00591269168817847,0.468092331726066,0.00114681829487804,0.00967483370825343,0.0113269898448018,1,13.8537098446188,0.575677480590824,7.69818239670295e-05,1,1.54763879787122,1.54768417605126,-1.98333373138033,0.738923241588965,0.760020422700151,0.172273465208952,-0.179551675407214,4.51697000854834,0.0138815048319677,6.1047808616696e-05,0.0476705253973987,0,3.23850773367951,19326.1189835741,966601.146154928,1.30029320644098e-11,107.74121018027,414.413802553508,9.68076678887979,0.00120770646520918,1.38775422144807e-05,0.0323215115942687,0,0,4,D
17,0,0.0005,0,0,-1.01394471467335,0.0274829470937226,-0.598817217889427,0.00154618123319349,-0.0451602359042191,-0.0532921039729722,1,0,13.2644597375852,4.28402267603272e-05,1,1.56725154505047,1.56730016060214,-1.97886334854587,3.46268953823635,3.74147405682,0.247761903594614,0.889734900491101,25.8910757298635,0.0569311588037983,8.86538850441286e-05,0.0624025591465908,0,3.19619001301346,29509.4009504858,966600.362610102,5.54223333892878e-13,260.698437174991,409.137533481329,2.42654363661288,0.00137688659129228,1.06130353167662e-05,0.0322127803884994,0,0,3,C
18,0,0.0005,0,0,-14.7287269868949,0.26390430752416,-0.948744228834559,0.0128655387657882,-0.328599240960695,-0.416698427807008,1,0,1444.68004759043,0.000468505403332509,1,1.56857771313674,1.5686265475919,-1.97852099395104,27.1021783243642,28.8347044202701,1.34953432576254,9.03642707217164,54.6002269090141,0.406250521350979,9.61086981131072e-05,0.104899998341696,0,3.31709037074968,16611.337476389,966606.369624717,1.0752370869227e-05,343.42622014656,1494.98963785695,13.4191168457517,0.00243902966052728,3.05157439558104e-05,0.0323076430884099,0,0,8,Z
19,0,0.0005,0,2.05090212487903e-36,0.867336579973939,0.00176171260897275,0.904295873156382,0.00111139856249012,0.000410471563577199,0.000472908015309859,1,76.1934489583041,0.00300942576169795,7.64503430861274e-05,1,-1.96655712423983,-1.96703179213201,-2,0.133500523810084,0.00201904821837218,0.165500911651029,0.00562711511115338,13.2391718003811,0.00443439972682842,7.1948391264493e-05,0.047895595381325,0,3.2161363559393,21192.0749010813,966600.700252802,1.67688085639384e-12,114.138244798835,226.61409737573,4.18403285739615,0.0010736277622972,1.1028984997193e-05,0.0323155837244258,0,0,1,A
20,0,0.0005,0,0,-1.07581688216046,0.0283512343951796,-0.610831868835785,0.00156555075495764,-0.0465217220587627,-0.05493725827226,1,0,14.2604850512089,4.56511648966558e-05,1,1.567252927191,1.56736156648699,-1.97886299459711,3.56959068318145,3.85651115651206,0.260837265103457,0.910675002089336,26.0390708251322,0.0585055793885737,8.87720938924032e-05,0.0625440881496388,0,3.19678082507392,29429.8923946516,966600.467959274,8.5265128291212e-14,262.771670790307,413.715963074346,2.49094799946408,0.0013843306191462,1.06821987160512e-05,0.032212269007786,0,0,3,C
